"","property_name","address","lat","long","method","location"
"163","Sycamore Square Apts","Sycamore Square Apts, 1120 S Sycamore , mesa, AZ",33.394287467652,-111.870352743133,"arcgis","mesa"
"164","The Groves","The Groves, 2030 & 2102 E Broadway Rd , mesa, AZ",33.408256873213,-111.785830385883,"arcgis","mesa"
"165","The Joshua","The Joshua, 1711 S Extension , mesa, AZ",33.383861930754,-111.848535906453,"arcgis","mesa"
"166","The Julia Apts","The Julia Apts, 546 S Country Club Dr , mesa, AZ",33.404954487181,-111.840358018801,"arcgis","mesa"
"167","The Link Apts","The Link Apts, 1433 & 1457 W University , mesa, AZ",33.421989825285,-111.862935932289,"arcgis","mesa"
"168","The Manhattan","The Manhattan, 1107 E University Dr , mesa, AZ",33.422256327896,-111.807415211484,"arcgis","mesa"
"169","The Oaks","The Oaks, 524 W 9th St , mesa, AZ",33.431040771972,-111.842478388847,"arcgis","mesa"
"170","The Oaks","The Oaks, 526 W Rio Salado , mesa, AZ",33.4301398012,-111.842883402409,"arcgis","mesa"
"171","The Quails","The Quails, 1207, 1215 & 1223 E Jarvis Ave , mesa, AZ",33.410078637959,-111.804650943635,"arcgis","mesa"
"172","The Quin","The Quin, 1318 S Vineyard , mesa, AZ",33.390978795193,-111.842894885616,"arcgis","mesa"
"173","The Sands","The Sands, 2305 E Main St , mesa, AZ",33.415230700474,-111.781874379042,"arcgis","mesa"
"174","The Spring","The Spring, 45 N Lyn Rae , mesa, AZ",33.416686762784,-111.773669166385,"arcgis","mesa"
"175","The Tides at Country Club","The Tides at Country Club, 901 S Country Club Dr , mesa, AZ",33.399124622065,-111.839850913659,"arcgis","mesa"
"176","Traditions","Traditions, 4450 E Southern Ave , mesa, AZ",33.394045649746,-111.734940750401,"arcgis","mesa"
"177","Trail Riders Ranch","Trail Riders Ranch, 2460 E Main St , mesa, AZ",33.415616729025,-111.778313243658,"arcgis","mesa"
"178","Trails at Harris","Trails at Harris, 1653 S Harris , mesa, AZ",33.384715879049,-111.796936994324,"arcgis","mesa"
"179","Val Vista Villages","Val Vista Villages, 233 N Val Vista Dr , mesa, AZ",33.4199346,-111.7513068,"arcgis","mesa"
